duration,count,class
34,5889,0
-57806,1,1
-57440,1,0
-56345,1,1
-55979,1,0
-55614,1,0
-55249,1,0
-54518,1,0
-54153,1,0
-53788,1,0
-53423,1,0
-51596,1,0
-51231,1,0
-50866,1,0
-50501,1,0
-49770,1,0
-49405,1,0
-49040,1,0
-48674,1,0
-48309,1,0
-47944,1,0
-47213,1,0
-46848,1,0
-46483,1,0
-46118,1,0
-45752,1,0
-45022,1,0
-44657,1,0
-44291,1,0
-43926,1,0
-43196,1,0
-42830,1,0
-42465,1,0
-42100,1,0
-41735,1,0
-41369,1,0
-41004,1,0
-40639,1,0
-39543,1,0
-37717,1,0
-37352,1,0
-36621,1,0
-36256,1,0
-35891,1,0
-35525,1,0
-35160,1,0
-34795,1,0
-32603,1,0
-32238,1,0
-30777,1,0
-27491,1,0
-20551,1,0
-19821,1,0
-18225,1,0
-14707,1,0
-6306,1,0
-1193,1,0
-1096,9,0
-731,9,0
-423,1,0
-366,5,0
-346,19,0
-345,3,0
-344,11,0
-343,1,0
-338,5,0
-336,1,0
-331,1,0
-325,3,0
-313,1,0
-297,3,0
-296,1,0
-295,2,0
-294,1,0
-287,1,0
-283,1,0
-281,2,0
-278,1,0
-276,3,0
-275,1,0
-272,1,0
-269,5,0
-268,1,0
-264,2,0
-263,1,0
-262,1,0
-261,2,0
-258,2,0
-251,1,0
-250,4,0
-245,1,0
-243,1,0
-241,1,0
-239,4,0
-238,1,0
-235,1,0
-230,2,0
-229,1,0
-221,1,0
-220,2,0
-218,1,0
-216,1,0
-214,1,0
-211,1,0
-203,1,0
-199,1,0
-196,4,0
-194,2,0
-191,1,0
-190,1,0
-189,1,0
-187,1,0
-185,1,0
-172,2,0
-141,2,0
-139,1,0
-133,1,0
-130,1,0
-109,1,0
-104,1,0
-79,1,0
-73,1,0
-71,2,0
-55,1,0
-35,1,0
-34,1,0
-33,3,0
-31,1,0
-28,1,0
-26,3,0
-25,1,0
-23,3,0
-22,8,0
-21,4,0
-20,5,0
-19,10,0
-18,7,0
-17,17,0
-16,6,0
-15,5,0
-14,5,0
-13,4,0
-12,9,0
-11,8,0
-10,9,0
-9,1,0
-8,6,0
-7,7,0
-6,5,0
-5,12,0
-4,6,0
-3,8,0
-2,6,0
-1,6,0
0,73,0
1,144,0
2,324,0
3,469,0
4,608,0
5,639,0
6,507,0
7,1376,0
8,309,0
9,1286,0
10,576,0
11,696,0
12,531,0
13,466,0
14,1061,0
15,1011,0
16,3750,0
17,845,0
18,1384,0
19,2803,0
20,1918,0
21,575,0
22,822,0
23,1435,0
24,1132,0
25,2360,0
26,2728,0
27,924,0
28,1053,0
29,2380,0
30,23727,0
31,3422,0
32,5954,0
33,834,0
34,641,0
35,1202,0
36,516,0
37,1642,0
38,1378,0
39,1902,0
40,2836,0
41,492,0
42,1754,0
43,715,0
44,1876,0
45,1688,0
46,2984,0
47,1596,0
48,424,0
49,740,0
50,1552,0
51,1939,0
52,2165,0
53,2859,0
54,1248,0
55,546,0
56,883,0
57,1883,0
58,2552,0
59,1514,0
60,4803,0
61,1764,0
62,545,0
63,747,0
64,581,0
65,1911,0
66,5766,0
67,1297,0
68,655,0
69,1330,0
70,723,0
71,814,0
72,1004,0
73,18573,0
74,4813,0
75,5213,0
76,747,0
77,1807,0
78,3791,0
79,1334,0
80,933,0
81,806,0
82,1119,0
83,316,0
84,578,0
85,11625,0
86,4236,0
87,1048,0
88,4342,0
89,11466,0
90,9395,0
91,9417,0
92,10754,0
93,3838,0
94,817,0
95,871,0
96,2302,0
97,1811,0
98,418,0
99,1245,0
100,13454,0
101,2143,0
102,2772,0
103,1474,0
104,6259,0
105,3723,0
106,999,0
107,1440,0
108,2779,0
109,1588,0
110,1276,0
111,1352,0
112,2666,0
113,4152,0
114,1109,0
115,1117,0
116,3419,0
117,1075,0
118,869,0
119,1688,0
120,1864,0
121,1971,0
122,1774,0
123,6849,0
124,1008,0
125,941,0
126,734,0
127,477,0
128,2679,0
129,1319,0
130,1305,0
131,4303,0
132,1071,0
133,1913,0
134,887,0
135,3221,0
136,3095,0
137,1510,0
138,1248,0
139,659,0
140,1438,0
141,832,0
142,4363,0
143,874,0
144,1847,0
145,2641,0
146,753,0
147,871,0
148,974,0
149,11352,0
150,2444,0
151,2168,0
152,5486,0
153,5691,0
154,351,0
155,1068,0
156,2647,0
157,929,0
158,5783,0
159,2981,0
160,435,0
161,1287,0
162,661,0
163,1215,0
164,869,0
165,574,0
166,2875,0
167,1188,0
168,444,0
169,834,0
170,506,0
171,4872,0
172,870,0
173,2667,0
174,1741,0
175,3724,0
176,2376,0
177,1652,0
178,1132,0
179,2707,0
180,5712,0
181,1016,0
182,492,0
183,5602,0
184,18567,0
185,1753,0
186,1088,0
187,431,0
188,478,0
189,1432,0
190,10711,0
191,1875,0
192,1110,0
193,711,0
194,2607,0
195,553,0
196,617,0
197,391,0
198,2049,0
199,2097,0
200,1719,0
201,1548,0
202,797,0
203,404,0
204,519,0
205,772,0
206,1208,0
207,4045,0
208,12364,0
209,1792,0
210,1193,0
211,4077,0
212,922,0
213,3858,0
214,12361,0
215,718,0
216,908,0
217,605,0
218,295,0
219,818,1
220,4541,1
221,877,1
222,490,1
223,1758,1
224,385,1
225,587,1
226,1473,1
227,799,1
228,729,1
229,635,1
230,3811,1
231,298,1
232,346,1
233,726,1
234,806,1
235,2530,1
236,1656,1
237,1637,1
238,404,1
239,777,1
240,1069,1
241,3154,1
242,702,1
243,1065,1
244,812,1
