duration,count
34,5889
-57806,1
-57440,1
-56345,1
-55979,1
-55614,1
-55249,1
-54518,1
-54153,1
-53788,1
-53423,1
-51596,1
-51231,1
-50866,1
-50501,1
-49770,1
-49405,1
-49040,1
-48674,1
-48309,1
-47944,1
-47213,1
-46848,1
-46483,1
-46118,1
-45752,1
-45022,1
-44657,1
-44291,1
-43926,1
-43196,1
-42830,1
-42465,1
-42100,1
-41735,1
-41369,1
-41004,1
-40639,1
-39543,1
-37717,1
-37352,1
-36621,1
-36256,1
-35891,1
-35525,1
-35160,1
-34795,1
-32603,1
-32238,1
-30777,1
-27491,1
-20551,1
-19821,1
-18225,1
-14707,1
-6306,1
-1193,1
-1096,9
-731,9
-423,1
-366,5
-346,19
-345,3
-344,11
-343,1
-338,5
-336,1
-331,1
-325,3
-313,1
-297,3
-296,1
-295,2
-294,1
-287,1
-283,1
-281,2
-278,1
-276,3
-275,1
-272,1
-269,5
-268,1
-264,2
-263,1
-262,1
-261,2
-258,2
-251,1
-250,4
-245,1
-243,1
-241,1
-239,4
-238,1
-235,1
-230,2
-229,1
-221,1
-220,2
-218,1
-216,1
-214,1
-211,1
-203,1
-199,1
-196,4
-194,2
-191,1
-190,1
-189,1
-187,1
-185,1
-172,2
-141,2
-139,1
-133,1
-130,1
-109,1
-104,1
-79,1
-73,1
-71,2
-55,1
-35,1
-34,1
-33,3
-31,1
-28,1
-26,3
-25,1
-23,3
-22,8
-21,4
-20,5
-19,10
-18,7
-17,17
-16,6
-15,5
-14,5
-13,4
-12,9
-11,8
-10,9
-9,1
-8,6
-7,7
-6,5
-5,12
-4,6
-3,8
-2,6
-1,6
0,73
1,144
2,324
3,469
4,608
5,639
6,507
7,1376
8,309
9,1286
10,576
11,696
12,531
13,466
14,1061
15,1011
16,3750
17,845
18,1384
19,2803
20,1918
21,575
22,822
23,1435
24,1132
25,2360
26,2728
27,924
28,1053
29,2380
30,23727
31,3422
32,5954
33,834
34,641
35,1202
36,516
37,1642
38,1378
39,1902
40,2836
41,492
42,1754
43,715
44,1876
45,1688
46,2984
47,1596
48,424
49,740
50,1552
51,1939
52,2165
53,2859
54,1248
55,546
56,883
57,1883
58,2552
59,1514
60,4803
61,1764
62,545
63,747
64,581
65,1911
66,5766
67,1297
68,655
69,1330
70,723
71,814
72,1004
73,18573
74,4813
75,5213
76,747
77,1807
78,3791
79,1334
80,933
81,806
82,1119
83,316
84,578
85,11625
86,4236
87,1048
88,4342
89,11466
90,9395
91,9417
92,10754
93,3838
94,817
95,871
96,2302
97,1811
98,418
99,1245
100,13454
101,2143
102,2772
103,1474
104,6259
105,3723
106,999
107,1440
108,2779
109,1588
110,1276
111,1352
112,2666
113,4152
114,1109
115,1117
116,3419
117,1075
118,869
119,1688
120,1864
121,1971
122,1774
123,6849
124,1008
125,941
126,734
127,477
128,2679
129,1319
130,1305
131,4303
132,1071
133,1913
134,887
135,3221
136,3095
137,1510
138,1248
139,659
140,1438
141,832
142,4363
143,874
144,1847
145,2641
146,753
147,871
148,974
149,11352
150,2444
151,2168
152,5486
153,5691
154,351
155,1068
156,2647
157,929
158,5783
159,2981
160,435
161,1287
162,661
163,1215
164,869
165,574
166,2875
167,1188
168,444
169,834
170,506
171,4872
172,870
173,2667
174,1741
175,3724
176,2376
177,1652
178,1132
179,2707
180,5712
181,1016
182,492
183,5602
184,18567
185,1753
186,1088
187,431
188,478
189,1432
190,10711
191,1875
192,1110
193,711
194,2607
195,553
196,617
197,391
198,2049
199,2097
200,1719
201,1548
202,797
203,404
204,519
205,772
206,1208
207,4045
208,12364
209,1792
210,1193
211,4077
212,922
213,3858
214,12361
215,718
216,908
217,605
218,295
219,818
220,4541
221,877
222,490
223,1758
224,385
225,587
226,1473
227,799
228,729
229,635
230,3811
231,298
232,346
233,726
234,806
235,2530
236,1656
237,1637
238,404
239,777
240,1069
241,3154
242,702
243,1065
244,812
245,1624
246,813
247,416
248,866
249,4183
250,563
251,1264
252,133
253,238
254,491
255,842
256,866
257,562
258,1090
259,123
260,584
261,355
262,1507
263,387
264,3996
265,1320
266,145
267,201
268,1128
269,4434
270,958
271,358
272,1709
273,190
274,4401
275,1280
276,1348
277,376
278,344
279,2257
280,1046
281,887
282,2607
283,2616
284,2889
285,768
286,1265
287,286
288,203
289,407
290,352
291,689
292,375
293,811
294,987
295,298
296,614
297,1794
298,1915
299,1530
300,1604
301,225
302,248
303,1749
304,1046
305,3496
306,2633
307,551
308,118
309,137
310,429
311,1797
312,2360
313,578
314,1259
315,199
316,457
317,380
318,895
319,2264
320,3199
321,1459
322,2190
323,262
324,5325
325,6727
326,4778
327,1029
328,2267
329,421
330,13294
331,312
332,468
333,6995
334,524
335,2590
336,861
337,754
338,320
339,15819
340,688
341,725
342,376
343,723
344,112
345,4125
346,544
347,364
348,31922
349,14272
350,245
351,87
352,301
353,2969
354,45253
355,2395
356,4092
357,1107
358,115
359,478
360,1129
361,1587
362,7938
363,5506
364,11510
365,42588
366,23017
367,284
368,71
369,54
370,346
371,1308
372,64
373,83
374,92
375,115
376,67
377,70
378,52
379,146
380,901
381,104
382,44
383,139
384,104
385,441
386,91
387,421
388,182
389,40
390,65
391,76
392,61
393,220
394,208
395,169
396,990
397,64
398,116
399,96
400,44
401,44
402,47
403,43
404,4322
405,72
406,51
407,57
408,47
409,50
410,55
411,45
412,32
413,273
414,112
415,83
416,47
417,76
418,46
419,47
420,54
421,57
422,46
423,528
424,53
425,256
426,59
427,60
428,62
429,89
430,69
431,90
432,63
433,164
434,46
435,64
436,50
437,98
438,343
439,149
440,50
441,53
442,61
443,233
444,65
445,25
446,44
447,36
448,41
449,39
450,105
451,38
452,34
453,37
454,84
455,36
456,413
457,83
458,56
459,33
460,43
461,28
462,377
463,48
464,32
465,67
466,41
467,173
468,105
469,53
470,198
471,56
472,111
473,26
474,18
475,47
476,45
477,128
478,37
479,53
480,43
481,38
482,42
483,28
484,54
485,1352
486,84
487,29
488,752
489,84
490,18
491,29
492,27
493,291
494,926
495,33
496,39
497,37
498,24
499,173
500,51
501,60
502,23
503,27
504,23
505,26
506,49
507,35
508,18
509,27
510,38
511,30
512,42
513,34
514,72
515,31
516,67
517,99
518,34
519,138
520,42
521,245
522,19
523,28
524,41
525,22
526,28
527,43
528,36
529,31
530,29
531,80
532,30
533,26
534,46
535,47
536,27
537,30
538,47
539,37
540,40
541,40
542,31
543,37
544,25
545,27
546,51
547,29
548,148
549,32
550,29
551,23
552,32
553,30
554,26
555,35
556,49
557,21
558,29
559,34
560,23
561,21
562,14
563,30
564,14
565,10
566,30
567,24
568,30
569,19
570,25
571,30
572,25
573,33
574,31
575,40
576,51
577,43
578,35
579,45
580,61
581,38
582,42
583,15
584,38
585,17
586,15
587,22
588,20
589,18
590,26
591,28
592,11
593,24
594,25
595,25
596,36
597,18
598,37
599,270
600,19
601,39
602,23
603,26
604,36
605,84
606,31
607,106
608,27
609,49
610,39
611,23
612,34
613,26
614,22
615,33
616,31
617,29
618,23
619,36
620,30
621,49
622,93
623,28
624,22
625,150
626,30
627,47
628,26
629,37
630,27
631,30
632,21
633,41
634,23
635,22
636,24
637,245
638,53
639,85
640,120
641,33
642,41
643,94
644,36
645,38
646,33
647,34
648,11
649,18
650,27
651,30
652,24
653,17
654,87
655,33
656,19
657,22
658,29
659,36
660,18
661,76
662,20
663,18
664,35
665,30
666,35
667,20
668,46
669,32
670,24
671,31
672,35
673,26
674,13
675,24
676,17
677,22
678,87
679,16
680,26
681,30
682,36
683,20
684,21
685,21
686,30
687,58
688,56
689,41
690,10
691,24
692,3730
693,18
694,25
695,703
696,39
697,27
698,31
699,41
700,220
701,43
702,58
703,27
704,10
705,14
706,23
707,16
708,28
709,16
710,27
711,14
712,38
713,15
714,26
715,20
716,27
717,27
718,9
719,11
720,24
721,19
722,28
723,37
724,44
725,15
726,32
727,32
728,94
729,195
730,38
731,2643
732,4
733,15
734,17
735,16
736,20
737,14
738,10
739,13
740,12
741,9
742,28
743,26
744,25
745,52
746,86
747,526
748,18
749,11
750,62
751,16
752,19
753,5
754,7
755,9
756,16
757,21
758,24
759,37
760,7
761,10
762,18
763,23
764,12
765,15
766,14
767,5
768,4
769,15
770,8
771,22
772,19
773,17
774,6
775,72
776,15
777,10
778,199
779,20
780,17
781,5
782,5
783,20
784,14
785,16
786,21
787,18
788,7
789,24
790,10
791,12
792,14
793,13
794,20
795,4
796,4
797,11
798,6
799,4
800,16
801,15
802,4
803,7
804,14
805,44
806,16
807,8
808,22
809,3
810,6
811,23
812,20
813,22
814,20
815,21
816,4
817,6
818,116
819,23
820,1018
821,27
822,24
823,5
824,7
825,15
826,7
827,8
828,19
829,20
830,18
831,87
832,82
833,96
834,160
835,408
836,3066
837,2
838,6
839,7
840,2
841,2
842,1
843,3
844,5
845,2
846,3
847,3
848,1
850,7
851,6
853,2
854,2
855,1
856,10
857,1
858,2
859,4
860,1
861,3
862,12
863,5
864,2
865,5
866,1
867,1
868,4
869,7
870,3
871,3
872,2
873,3
875,4
876,3
877,3
878,2
879,3
880,1
881,3
882,2
883,3
884,2
885,4
886,3
887,8
888,5
889,3
890,1
891,1
893,3
894,2
895,3
896,1
897,3
898,2
899,1
900,1
901,1
902,6
903,2
904,2
905,2
908,2
909,2
910,5
912,2
913,1
914,4
915,4
916,6
917,1
918,6
919,2
920,1
921,1
922,2
923,3
924,3
925,5
927,2
928,5
929,1
931,3
932,2
933,3
934,5
935,3
936,1
937,1
938,1
939,4
940,1
942,2
943,2
944,2
945,7
946,2
947,1
948,2
949,3
950,1
951,4
952,2
953,2
954,2
955,2
956,2
957,3
958,10
959,2
960,1
961,2
962,4
963,58
964,2
965,3
966,4
967,3
968,3
969,2
970,2
971,1
972,6
973,1
975,5
976,3
977,4
978,1
982,2
983,2
984,1
985,3
986,2
987,2
988,3
989,2
990,1
991,2
992,24
993,6
994,4
995,1
996,1
997,4
998,1
999,4
1000,2
1001,4
1002,2
1003,1
1004,2
1005,1
1006,4
1007,6
1008,3
1009,4
1010,1
1011,1
1012,2
1013,1
1014,2
1015,1
1016,1
1017,2
1018,1
1020,3
1023,3
1024,3
1026,3
1027,1
1028,3
1029,3
1030,2
